193	32	14	56	4	2mm
194	37	-65	40	4	2mm
195	-42	-55	45	4	2mm
196	40	18	40	4	2mm
197	-34	55	4	4	2mm
198	-42	45	-2	4	2mm
199	33	-53	44	4	2mm
200	43	49	-2	4	2mm
201	-42	25	30	4	2mm
202	-3	26	44	4	2mm
203	11	-39	50	4	2mm
204	55	-45	37	4	2mm
205	42	0	47	4	2mm
206	31	33	26	4	2mm
207	48	22	10	4	2mm
208	-35	20	0	4	2mm
209	36	22	3	4	2mm
210	37	32	-2	4	2mm
211	34	16	-8	4	2mm
212	-11	26	25	4	2mm
213	-1	15	44	4	2mm
214	-28	52	21	4	2mm
215	0	30	27	4	2mm
216	5	23	37	4	2mm
217	10	22	27	4	2mm
218	31	56	14	4	2mm
219	26	50	27	4	2mm
220	-39	51	17	4	2mm
221	2	-24	30	4	2mm
222	6	-24	0	4	2mm
223	-2	-13	12	4	2mm
224	-10	-18	7	4	2mm
225	12	-17	8	4	2mm
226	-5	-28	-4	4	2mm
227	-22	7	-5	4	2mm
228	-15	4	8	4	2mm
229	31	-14	2	4	2mm
230	23	10	1	4	2mm
231	29	1	4	4	2mm
232	-31	-11	0	4	2mm
233	15	5	7	4	2mm
234	9	-4	6	4	2mm
235	54	-43	22	4	2mm
236	-56	-50	10	4	2mm
237	-55	-40	14	4	2mm
238	52	-33	8	4	2mm
239	51	-29	-4	4	2mm
240	56	-46	11	4	2mm
241	53	33	1	4	2mm
242	-49	25	-1	4	2mm
243	-16	-65	-20	4	2mm
244	-32	-55	-25	4	2mm
245	22	-58	-23	4	2mm
246	1	-62	-18	4	2mm
247	33	-12	-34	4	2mm
248	-31	-10	-36	4	2mm
249	49	-3	-38	4	2mm
250	-50	-7	-39	4	2mm
251	10	-62	61	4	2mm
252	-52	-63	5	4	2mm
253	-47	-51	-21	4	2mm
254	46	-47	-17	4	2mm
255	47	-30	49	4	2mm
256	22	-65	48	4	2mm
257	46	-59	4	4	2mm
258	25	-58	60	4	2mm
259	-33	-46	47	4	2mm
260	-27	-71	37	4	2mm
261	-32	-1	54	4	2mm
262	-42	-60	-9	4	2mm
263	-17	-59	64	4	2mm
264	29	-5	54	4	2mm
